"table_name","column_name","data_type","is_nullable"
"articles","article_id","integer","NO"
"articles","title","character varying","YES"
"articles","text","text","YES"
"articles","author","character varying","YES"
"articles","publisher","character varying","YES"
"articles","source_url","character varying","YES"
"articles","timestamp","timestamp without time zone","YES"
"articles","upvotes","integer","YES"
"articles","downvotes","integer","YES"
"articles","categories","text","YES"
"articles","tags","text","YES"
"comments","comment_id","integer","NO"
"comments","article_id","integer","YES"
"comments","user_id","integer","YES"
"comments","text","text","YES"
"comments","timestamp","timestamp without time zone","YES"
"users","user_id","integer","NO"
"users","username","character varying","NO"
